src_ip,dst_ip,protocol,length,src_port,dst_port,label
192.168.123.129,203.193.179.28,17,90,123,123,benign
203.193.179.28,192.168.123.129,17,90,123,123,benign
192.168.123.129,65.0.119.56,17,90,123,123,benign
65.0.119.56,192.168.123.129,17,90,123,123,benign
192.168.123.129,192.46.215.141,17,90,123,123,benign
192.46.215.141,192.168.123.129,17,90,123,123,benign
192.168.123.1,192.168.123.129,6,60,51675,80,benign
192.168.123.129,192.168.123.1,6,54,80,51675,benign
192.168.200.135,192.168.200.21,6,66,6711,2000,benign
192.168.200.21,192.168.200.135,6,66,2000,6711,benign
192.168.200.135,192.168.200.21,6,54,6711,2000,benign
192.168.200.135,192.168.200.21,6,60,6711,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6711,benign
192.168.200.21,192.168.200.135,6,60,2000,6711,benign
192.168.200.135,192.168.200.21,6,54,6711,2000,benign
192.168.200.135,192.168.200.21,6,54,6711,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6711,benign
192.168.200.135,192.168.200.21,6,66,6712,2000,benign
192.168.200.21,192.168.200.135,6,62,2000,6712,benign
192.168.200.135,192.168.200.21,6,54,6712,2000,benign
192.168.200.135,192.168.200.21,6,60,6712,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6712,benign
192.168.200.21,192.168.200.135,6,60,2000,6712,benign
192.168.200.135,192.168.200.21,6,54,6712,2000,benign
192.168.200.135,192.168.200.21,6,54,6712,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6712,benign
192.168.200.21,192.168.200.135,6,66,2000,6713,benign
192.168.200.135,192.168.200.21,6,54,6713,2000,benign
192.168.200.135,192.168.200.21,6,60,6713,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6713,benign
192.168.200.21,192.168.200.135,6,60,2000,6713,benign
192.168.200.135,192.168.200.21,6,54,6713,2000,benign
192.168.200.135,192.168.200.21,6,54,6713,2000,benign
192.168.200.21,192.168.200.135,6,60,2000,6713,benign
192.168.200.135,192.168.200.21,6,66,7875,2000,benign
192.168.200.21,192.168.200.135,6,66,2000,7875,benign
192.168.200.135,192.168.200.21,6,60,7875,2000,benign
192.168.200.135,192.168.200.21,6,60,7875,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7875,benign
192.168.200.135,192.168.200.21,6,60,7875,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7875,benign
192.168.200.135,192.168.200.21,6,60,7875,2000,benign
192.168.200.135,192.168.200.21,6,66,7876,2000,benign
192.168.200.21,192.168.200.135,6,66,2000,7876,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,1514,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,813,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.21,192.168.200.135,6,56,2000,7876,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.21,192.168.200.135,6,56,2000,7876,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.21,192.168.200.135,6,56,2000,7876,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.135,192.168.200.21,6,60,7876,2000,benign
192.168.200.21,192.168.200.135,6,54,2000,7876,benign
145.254.160.237,65.208.228.223,6,62,3372,80,benign
65.208.228.223,145.254.160.237,6,62,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
145.254.160.237,65.208.228.223,6,533,3372,80,benign
65.208.228.223,145.254.160.237,6,54,80,3372,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
145.254.160.237,145.253.2.203,17,89,3009,53,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.253.2.203,145.254.160.237,17,188,53,3009,benign
145.254.160.237,216.239.59.99,6,775,3371,80,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
216.239.59.99,145.254.160.237,6,54,80,3371,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
216.239.59.99,145.254.160.237,6,1484,80,3371,benign
216.239.59.99,145.254.160.237,6,214,80,3371,benign
145.254.160.237,216.239.59.99,6,54,3371,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,1434,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
216.239.59.99,145.254.160.237,6,1484,80,3371,benign
145.254.160.237,216.239.59.99,6,54,3371,80,benign
65.208.228.223,145.254.160.237,6,478,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,54,80,3372,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
145.254.160.237,65.208.228.223,6,54,3372,80,benign
65.208.228.223,145.254.160.237,6,54,80,3372,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,212,62413,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.1,239.255.255.250,17,212,62413,1900,benign
192.168.123.1,239.255.255.250,17,212,62413,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,212,62413,1900,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,154,51767,22,benign
192.168.123.129,192.168.123.1,6,154,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,146,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,224.0.0.251,17,87,5353,5353,benign
0.0.0.0,0.0.0.0,0,107,5353,5353,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,167,57438,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,540,1900,1900,benign
0.0.0.0,0.0.0.0,0,568,1900,1900,benign
192.168.123.1,239.255.255.250,17,484,1900,1900,benign
0.0.0.0,0.0.0.0,0,512,1900,1900,benign
192.168.123.1,239.255.255.250,17,538,1900,1900,benign
0.0.0.0,0.0.0.0,0,566,1900,1900,benign
192.168.123.1,239.255.255.250,17,550,1900,1900,benign
0.0.0.0,0.0.0.0,0,578,1900,1900,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,493,1900,1900,benign
0.0.0.0,0.0.0.0,0,521,1900,1900,benign
192.168.123.1,239.255.255.250,17,548,1900,1900,benign
0.0.0.0,0.0.0.0,0,576,1900,1900,benign
192.168.123.1,239.255.255.250,17,540,1900,1900,benign
0.0.0.0,0.0.0.0,0,568,1900,1900,benign
192.168.123.1,239.255.255.250,17,484,1900,1900,benign
0.0.0.0,0.0.0.0,0,512,1900,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,538,1900,1900,benign
0.0.0.0,0.0.0.0,0,566,1900,1900,benign
192.168.123.1,239.255.255.250,17,550,1900,1900,benign
0.0.0.0,0.0.0.0,0,578,1900,1900,benign
192.168.123.1,239.255.255.250,17,493,1900,1900,benign
0.0.0.0,0.0.0.0,0,521,1900,1900,benign
192.168.123.1,239.255.255.250,17,548,1900,1900,benign
0.0.0.0,0.0.0.0,0,576,1900,1900,benign
192.168.123.1,239.255.255.250,17,540,1900,1900,benign
0.0.0.0,0.0.0.0,0,568,1900,1900,benign
192.168.123.1,239.255.255.250,17,484,1900,1900,benign
0.0.0.0,0.0.0.0,0,512,1900,1900,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.1,239.255.255.250,17,538,1900,1900,benign
0.0.0.0,0.0.0.0,0,566,1900,1900,benign
192.168.123.1,239.255.255.250,17,550,1900,1900,benign
0.0.0.0,0.0.0.0,0,578,1900,1900,benign
192.168.123.1,239.255.255.250,17,493,1900,1900,benign
0.0.0.0,0.0.0.0,0,521,1900,1900,benign
192.168.123.1,239.255.255.250,17,548,1900,1900,benign
0.0.0.0,0.0.0.0,0,576,1900,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,224.0.0.251,17,262,5353,5353,benign
0.0.0.0,0.0.0.0,0,282,5353,5353,benign
192.168.123.1,224.0.0.251,17,81,5353,5353,benign
0.0.0.0,0.0.0.0,0,101,5353,5353,benign
192.168.123.1,224.0.0.251,17,81,5353,5353,benign
0.0.0.0,0.0.0.0,0,101,5353,5353,benign
192.168.123.1,224.0.0.251,17,81,5353,5353,benign
0.0.0.0,0.0.0.0,0,101,5353,5353,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,224.0.0.251,17,315,5353,5353,benign
0.0.0.0,0.0.0.0,0,335,5353,5353,benign
192.168.123.1,224.0.0.251,17,263,5353,5353,benign
0.0.0.0,0.0.0.0,0,283,5353,5353,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,90,22,51767,benign
192.168.123.1,192.168.123.129,6,162,51767,22,benign
192.168.123.129,192.168.123.1,6,154,22,51767,benign
192.168.123.1,239.255.255.250,17,212,50680,1900,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,186,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,212,50680,1900,benign
192.168.123.1,239.255.255.250,17,212,50680,1900,benign
192.168.123.129,192.168.123.1,6,146,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,212,50680,1900,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,178,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,224.0.0.251,17,87,5353,5353,benign
0.0.0.0,0.0.0.0,0,107,5353,5353,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,239.255.255.250,17,167,57438,1900,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,243,138,138,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,90,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.1,192.168.123.129,6,138,51767,22,benign
192.168.123.129,192.168.123.1,6,54,22,51767,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
192.168.123.1,192.168.123.129,6,60,51767,22,benign
192.168.123.1,192.168.123.255,17,86,57621,57621,benign
192.168.123.129,192.168.123.1,6,138,22,51767,benign
